Sequence Name;Group
A3-3-COI_ASV1750_205;1389
T1-COI_ASV15159_11;1389
T2-COI_ASV1750_205;1389
Z-C-COI_ASV14181_15;1389
A4-1-COI_ASV14525_13;1390
A5-1-COI_ASV15539_9;1391
Bahamas06__001262668;1392
Bahamas13__001262668;1392
Bahamas13__000705264;1393
Belize_07__000705264;1393
BK1BA1_1_460;1394
BK1BA1_1_1495;1394
BK1BA1_1_3126;1394
BK1BA1_5_528;1394
BK1BA1_5_2642;1394
BK1BA1_5_2891;1394
BK1BA1_5_3170;1394
BK1BA1_5_4376;1394
BK1BB1_1_491;1394
BK1BB1_1_1712;1394
BK1BB1_1_1863;1394
BK1BB1_1_3858;1394
BK1BB1_2_415;1394
BK1BB1_3_390;1394
BK1BB1_5_508;1394
BK1BB1_5_2707;1394
BK1BB1_5_3431;1394
BK1BB1_5_3643;1394
BK1BB1_5_4536;1394
BK1BC1_5_583;1394
BK1BC1_5_2526;1394
BK1SC1_1_339;1394
BK1SC1_2_344;1394
BK1SC1_3_473;1394
BK1SC1_5_314;1394
BK1SC1_5_1224;1394
BK2BA1_2_489;1394
BK2BA1_2_2573;1394
BK2BA1_2_3887;1394
BK2BB1_4_429;1394
BK2BB1_4_3367;1394
BK2BC1_1_382;1394
BK2SA1_5_296;1394
BK2SB1_2_479;1394
BK2SB1_4_488;1394
BK2SB1_5_409;1394
BK2SB1_5_1030;1394
BK2SC1_1_393;1394
BK2SC1_2_392;1394
BK2SC1_5_309;1394
BK2SC1_5_1168;1394
BK3BA1_1_472;1394
BK3BA1_2_489;1394
BK3BA1_2_2672;1394
BK3BA1_2_3726;1394
BK3BA1_4_536;1394
BK3BA1_4_6505;1394
BK3BA1_5_479;1394
BK3BA1_5_2718;1394
BK3BA1_5_3664;1394
BK3BA1_5_3758;1394
BK3BB1_1_535;1394
BK3BB1_3_627;1394
BK3BB1_4_566;1394
BK3BB1_4_1319;1394
BK3BB1_4_2360;1394
BK3BB1_4_3877;1394
BK3BB1_4_5728;1394
BK3BB1_4_6699;1394
BK3BB1_4_7075;1394
BK3BB1_5_608;1394
BK3BB1_5_2654;1394
BK3BB1_5_6992;1394
BK3BC1_1_599;1394
BK3BC1_1_6911;1394
BK3BC1_2_617;1394
BK3BC1_2_2828;1394
BK3BC1_2_5053;1394
BK3BC1_3_523;1394
BK3BC1_3_1910;1394
BK3BC1_3_3479;1394
BK3BC1_3_4166;1394
BK3BC1_4_449;1394
BK3BC1_4_1543;1394
BK3BC1_4_2723;1394
BK3BC1_5_651;1394
BK3BC1_5_5128;1394
BK3BC1_5_5584;1394
BK3BC1_5_6203;1394
BK3BC1_5_6349;1394
BK3BC1_5_6777;1394
BK3BC1_5_8390;1394
BK3BC1_5_10247;1394
BK3SA1_1_427;1394
BK3SA1_2_405;1394
BK3SA1_2_1256;1394
BK3SA1_4_538;1394
BK3SA1_4_2864;1394
BK3SA1_4_3436;1394
BK3SA1_4_4509;1394
BK3SA1_4_5477;1394
BK3SA1_4_5559;1394
BK3SA1_4_6311;1394
BK3SB1_1_482;1394
BK3SB1_1_1665;1394
BK3SB1_1_2893;1394
BK3SB1_1_3448;1394
BK3SB1_1_3898;1394
BK3SB1_1_4146;1394
BK3SB1_1_4350;1394
BK3SB1_2_510;1394
BK3SB1_2_2389;1394
BK3SB1_3_548;1394
BK3SB1_3_1292;1394
BK3SB1_3_3488;1394
BK3SB1_3_4823;1394
BK3SB1_3_5843;1394
BK3SB1_4_1212;1394
BK3SC1_1_544;1394
BK3SC1_1_2389;1394
BK3SC1_1_2707;1394
BK3SC1_1_2977;1394
BK3SC1_1_4189;1394
BK3SC1_1_4233;1394
BK3SC1_1_6130;1394
BK3SC1_1_6943;1394
BK3SC1_3_461;1394
BK4BA1_1_633;1394
BK4BA1_1_2024;1394
BK4BA1_1_2687;1394
BK4BA1_1_2945;1394
BK4BA1_1_3452;1394
BK4BA1_1_4226;1394
BK4BA1_1_4710;1394
BK4BA1_1_6053;1394
BK4BA1_1_6667;1394
BK4BA1_1_7425;1394
BK4BA1_2_693;1394
BK4BA1_2_2379;1394
BK4BA1_2_3211;1394
BK4BA1_2_8884;1394
BK4BA1_3_601;1394
BK4BA1_4_763;1394
BK4BA1_4_2825;1394
BK4BA1_5_589;1394
BK4BA1_5_3365;1394
BK4BA1_5_3777;1394
BK4BA1_5_4828;1394
BK4BA1_5_4940;1394
BK4BA1_5_4980;1394
BK4BB1_1_718;1394
BK4BB1_1_2431;1394
BK4BB1_1_3944;1394
BK4BB1_1_4224;1394
BK4BB1_1_5741;1394
BK4BB1_1_7937;1394
BK4BB1_1_7952;1394
BK4BB1_1_8255;1394
BK4BB1_2_545;1394
BK4BB1_2_2347;1394
BK4BB1_2_3116;1394
