Sequence Name;OTU
Bahamas01__000945274;2
Bahamas03__000945274;2
Bahamas05__000945274;2
Bahamas08__000945274;2
TurksCaicos_03__000945274;2
TurksCaicos_19__000945274;2
TurksCaicos_20__000945274;2
Bahamas01__000029440;3
Bahamas08__000029440;3
Bahamas09__000029440;3
Bahamas13__000029440;3
BVI02__000029440;3
BVI03__000029440;3
BVI04__000029440;3
BVI07__000029440;3
BVI08__000029440;3
BVI09__000029440;3
BVI10__000029440;3
BVI12__000029440;3
Jamaica_02__000029440;3
Jamaica_10__000029440;3
TurksCaicos_03__000029440;3
TurksCaicos_04__000029440;3
TurksCaicos_07__000029440;3
TurksCaicos_09__000029440;3
TurksCaicos_12__000029440;3
TurksCaicos_13__000029440;3
Bahamas01__000304599;4
Bahamas13__000304599;4
Belize_06__000304599;4
TurksCaicos_03__000304599;4
TurksCaicos_06__000304599;4
Bahamas05__000083102;5
Bahamas13__000083102;5
BVI02__000083102;5
Jamaica_07__000083102;5
TurksCaicos_02__000083102;5
TurksCaicos_04__000083102;5
TurksCaicos_14__000083102;5
Bahamas06__000139849;6
Bahamas14__000139849;6
TurksCaicos_10__000139849;6
TurksCaicos_20__000139849;6
V4004A_Zotu568;6
V4006A_Zotu568;6
V4008A_Zotu568;6
V4009A_Zotu568;6
V4011A_Zotu568;6
V4016A_Zotu568;6
V4017A_Zotu568;6
V4020A_Zotu568;6
V4021A_Zotu568;6
V4022A_Zotu568;6
V4023A_Zotu568;6
V4025A_Zotu568;6
V4028A_Zotu568;6
V4029A_Zotu568;6
V4032A_Zotu568;6
V4033A_Zotu568;6
V4040A_Zotu568;6
V4042A_Zotu568;6
V4045A_Zotu568;6
V4051A_Zotu568;6
V4052A_Zotu568;6
V4055A_Zotu568;6
V4140A_Zotu568;6
V4141A_Zotu568;6
V4181A_Zotu568;6
V4182A_Zotu568;6
V4185A_Zotu568;6
X001V4004A_Zotu568;6
X002V4012A_Zotu568;6
X003V4020A_Zotu568;6
X004V4028A_Zotu568;6
X005V4036A_Zotu568;6
X010V4143A_Zotu568;6
X032V4170A_Zotu568;6
Bahamas09__000714140;7
Belize_07__000714140;7
BVI01__000714140;7
Jamaica_11__000714140;7
TurksCaicos_03__000714140;7
Bahamas09__000132163;8
Bahamas14__000132163;8
TurksCaicos_03__000132163;8
TurksCaicos_05__000132163;8
TurksCaicos_06__000132163;8
TurksCaicos_09__000132163;8
TurksCaicos_14__000132163;8
TurksCaicos_15__000132163;8
Bahamas09__000075085;9
BVI01__000075085;9
TurksCaicos_06__000075085;9
TurksCaicos_07__000075085;9
Bahamas14__000686016;10
Belize_06__000686016;10
Belize_07__000686016;10
Jamaica_07__000686016;10
TurksCaicos_03__000686016;10
TurksCaicos_07__000686016;10
TurksCaicos_13__000686016;10
Belize_06__001028093;11
BVI08__001028093;11
BVI13__001028093;11
Belize_06__000133297;12
BVI10__000133297;12
BVI11__000133297;12
Jamaica_06__000133297;12
Jamaica_09__000133297;12
TurksCaicos01__000133297;12
TurksCaicos_03__000133297;12
TurksCaicos_04__000133297;12
TurksCaicos_07__000133297;12
TurksCaicos_10__000133297;12
TurksCaicos_13__000133297;12
TurksCaicos_14__000133297;12
TurksCaicos_20__000133297;12
BK1BA1_1_2130;13
BK3SA1_4_3745;13
BK4BC1_3_5717;13
BK5BA1_2_6930;13
BK5SA1_1_3586;13
BK6BA1_2_3241;13
BK6BA1_3_5107;13
BK6BA1_5_4739;13
BK6BC1_4_5218;13
BK6BC1_5_5747;13
BK6SC1_3_5311;13
BK7BB1_2_4617;13
BK7BB1_5_2206;13
PN1SB2_5_5516;13
PN1SC2_2_4428;13
PN4BB2_2_11220;13
PN5BC2_4_6334;13
PN5BC2_5_6165;13
PN5SB2_2_6704;13
PN5SB2_5_5265;13
PN6BA2_3_6153;13
PN6SC2_4_5920;13
PN7BA2_3_5404;13
BK1BC1_1_4770;14
BK1BC1_3_1070;14
BK4BB1_3_10353;14
BK7BA1_3_6300;14
BK7BB1_1_4689;14
BK7BC1_2_3944;14
BK7BC1_3_4519;14
BK7BC1_5_6045;14
BK3SC1_3_1411;15
BK3SC1_5_1068;15
BK4BB1_4_4193;15
BVI02__002672210;16
BVI07__002672210;16
BVI12__002672210;16
BVI03__001775923;17
BVI10__001775923;17
TurksCaicos_08__001775923;17
BVI06__000285404;18
TurksCaicos_08__000285404;18
BVI06__002909576;19
BVI10__000646630;20
BVI13__000646630;20
Jamaica_01__000646630;20
TurksCaicos_20__000646630;20
CI_Ac_1_211;21
CI_Ac_1_212;21
CI_Ac_15_190;21
CI_Ac_15_191;21
CI_Ac_3_202;21
CI_Ac_3_203;21
CI_Ac_6_218;21
CI_Al_1_521;21
CI_Al_1_522;21
CI_Al_10_379;21
CI_Al_10_380;21
CI_Al_15_273;21
CI_Al_15_274;21
CI_Al_15_275;21
CI_Al_3_504;21
CI_Al_3_505;21
CI_Al_6_474;21
CI_Al_6_475;21
CI_Ba_50_516;21
CI_Ba_50_517;21
CI_Ba_50_518;21
CI_Ba_50_519;21
CI_Ba_50_520;21
NR_Eg_0_631;21
NR_Eg_0_632;21
NR_Eg_0_633;21
PG_Al_1_537;21
PG_Al_1_538;21
PG_Al_10_623;21
PG_Al_15_690;21
PG_Al_6_464;21
PG_Ba_50_747;21
PG_Eg_0_777;21
PG_Eg_0_778;21
PG_Eg_0_779;21
SK_Al_6_194;21
SK_Ba_50_428;21
SK_Eg_0_442;21
SRR8128417_894;21
WB_Al_10_486;21
CI_Ac_1_243;22
CI_Ac_1_244;22
CI_Ac_10_207;22
CI_Ac_15_220;22
CI_Ac_3_227;22
CI_Ac_6_244;22
CI_Ac_6_245;22
