Sequence Name;OTU
A1-3-COI_ASV14455_13;4
A3-1-COI_ASV9940_35;4
A2-2-COI_ASV16543_5;5
A2-3-COI_ASV15229_10;5
B1-1-COI_ASV14090_15;5
A2-3-COI_ASV11265_28;6
A4-1-COI_ASV16831_4;6
B3-2-COI_ASV16172_7;6
Z-A-COI_ASV16238_7;6
A3-1-COI_ASV13329_18;7
A3-3-COI_ASV12709_21;8
A4-1-COI_ASV5363_66;9
A4-1-COI_ASV8006_46;9
A6-3-COI_ASV13181_19;9
B1-1-COI_ASV11713_26;9
C1-1-COI_ASV4198_81;9
T1-COI_ASV4198_81;9
Z-B-COI_ASV14176_15;9
A4-1-COI_ASV12926_20;10
A4-2-COI_ASV9571_37;11
A4-2-COI_ASV12725_21;12
A4-3-COI_ASV16351_6;13
A6-2-COI_ASV10196_34;14
B1-1-COI_ASV16885_4;15
T2-COI_ASV16466_6;15
B1-3-COI_ASV16153_7;16
Bahamas01__000052479;17
TurksCaicos_18__000052479;17
Bahamas01__000013833;18
Bahamas09__000013833;18
Jamaica_07__000013833;18
TurksCaicos_03__000013833;18
Bahamas01__000636643;19
Bahamas01__000752414;20
Bahamas09__000752414;20
Bahamas01__000132447;21
Bahamas02__000132447;21
Bahamas03__000132447;21
Bahamas05__000132447;21
Bahamas06__000132447;21
Bahamas07__000132447;21
Bahamas08__000132447;21
Bahamas09__000132447;21
Bahamas10__000132447;21
Bahamas11__000132447;21
Bahamas13__000132447;21
Bahamas14__000132447;21
Belize_03__000132447;21
Belize_06__000132447;21
Belize_07__000132447;21
BVI05__000132447;21
BVI07__000132447;21
BVI10__000132447;21
BVI11__000132447;21
BVI13__000132447;21
COI_19_249_W32_Water_Bautino_1_972;21
COI_19_555_W38_Water_Ersai_1_211;21
COI_19_558_W41_Water_Ersai_1_1026;21
COI_20_242_W44_Water_Ersai_1_1328;21
COI_20_243_W45_Water_Ersai_1_501;21
COI_20_244_W46_Water_Ersai_1_1472;21
COI_20_244_W46_Water_Ersai_1_2308;21
COI_20_246_W48_Water_Ersai_1_622;21
COI_23_242_S33_Sediment_Bautino_1_320;21
Jamaica_03__000132447;21
TurksCaicos_02__000132447;21
TurksCaicos_05__000132447;21
TurksCaicos_06__000132447;21
TurksCaicos_10__000132447;21
Bahamas02__000021138;22
Bahamas03__000021138;22
Bahamas05__000021138;22
Bahamas07__000021138;22
Bahamas10__000021138;22
Bahamas12__000021138;22
Bahamas13__000021138;22
Jamaica_02__000021138;22
Jamaica_03__000021138;22
Jamaica_04__000021138;22
Jamaica_05__000021138;22
Jamaica_06__000021138;22
Jamaica_07__000021138;22
Jamaica_08__000021138;22
Jamaica_09__000021138;22
Jamaica_10__000021138;22
Jamaica_11__000021138;22
Jamaica_12__000021138;22
TurksCaicos01__000021138;22
TurksCaicos_10__000021138;22
TurksCaicos_12__000021138;22
TurksCaicos_14__000021138;22
TurksCaicos_16__000021138;22
TurksCaicos_17__000021138;22
TurksCaicos_18__000021138;22
TurksCaicos_19__000021138;22
TurksCaicos_20__000021138;22
TurksCaicos_21__000021138;22
Bahamas02__000269333;23
Bahamas08__000269333;23
Bahamas09__000269333;23
BVI01__000269333;23
Bahamas02__000632310;24
BVI01__000632310;24
TurksCaicos_02__000632310;24
TurksCaicos_03__000632310;24
Bahamas09__000241508;25
Bahamas13__000241508;25
Jamaica_04__000241508;25
Jamaica_12__000241508;25
Bahamas09__000239528;26
Bahamas11__000026689;27
Bahamas14__000026689;27
Belize_04__000026689;27
Belize_06__000026689;27
Belize_07__000026689;27
BVI02__000026689;27
BVI03__000026689;27
BVI05__000026689;27
BVI07__000026689;27
BVI08__000026689;27
BVI09__000026689;27
BVI10__000026689;27
BVI11__000026689;27
BVI12__000026689;27
BVI13__000026689;27
Jamaica_04__000026689;27
Jamaica_06__000026689;27
Jamaica_07__000026689;27
Jamaica_08__000026689;27
Jamaica_09__000026689;27
Jamaica_10__000026689;27
Jamaica_11__000026689;27
TurksCaicos_13__000026689;27
Belize_06__001069862;28
BVI02__001069862;28
Jamaica_05__001069862;28
BK1BA1_1_11;29
BK1BA1_1_101;29
BK1BA1_1_158;29
