Sequence Name;OTU
Bahamas01__000045453;1
Bahamas02__000045453;1
Bahamas03__000045453;1
Bahamas06__000045453;1
Bahamas08__000045453;1
Bahamas09__000045453;1
Bahamas10__000045453;1
Bahamas11__000045453;1
Bahamas14__000045453;1
Belize_01__000045453;1
Belize_02__000045453;1
Belize_06__000045453;1
Belize_07__000045453;1
Belize_08__000045453;1
BVI01__000045453;1
BVI02__000045453;1
BVI04__000045453;1
BVI05__000045453;1
BVI06__000045453;1
BVI07__000045453;1
BVI09__000045453;1
BVI10__000045453;1
BVI11__000045453;1
BVI12__000045453;1
BVI13__000045453;1
Jamaica_11__000045453;1
TurksCaicos_02__000045453;1
TurksCaicos_03__000045453;1
TurksCaicos_05__000045453;1
TurksCaicos_06__000045453;1
TurksCaicos_07__000045453;1
TurksCaicos_08__000045453;1
TurksCaicos_09__000045453;1
TurksCaicos_14__000045453;1
TurksCaicos_15__000045453;1
TurksCaicos_18__000045453;1
Bahamas01__002647940;2
Bahamas03__002647940;2
Bahamas06__002647940;2
Bahamas08__002647940;2
Bahamas10__002647940;2
Bahamas14__002647940;2
BVI01__002647940;2
BVI02__002647940;2
BVI04__002647940;2
BVI05__002647940;2
BVI06__002647940;2
BVI07__002647940;2
BVI08__002647940;2
BVI09__002647940;2
BVI10__002647940;2
BVI11__002647940;2
BVI12__002647940;2
BVI13__002647940;2
TurksCaicos_02__002647940;2
TurksCaicos_05__002647940;2
TurksCaicos_06__002647940;2
TurksCaicos_09__002647940;2
Belize_01__000088225;3
Belize_02__000088225;3
Belize_03__000088225;3
Belize_05__000088225;3
Belize_06__000088225;3
Belize_07__000088225;3
Belize_08__000088225;3
BVI01__000088225;3
BVI02__000088225;3
BVI03__000088225;3
BVI04__000088225;3
BVI05__000088225;3
BVI06__000088225;3
BVI07__000088225;3
BVI08__000088225;3
BVI09__000088225;3
BVI10__000088225;3
BVI11__000088225;3
BVI12__000088225;3
BVI13__000088225;3
Jamaica_01__000088225;3
Jamaica_02__000088225;3
Jamaica_03__000088225;3
Jamaica_07__000088225;3
Jamaica_08__000088225;3
Jamaica_10__000088225;3
Jamaica_11__000088225;3
Jamaica_12__000088225;3
TurksCaicos_02__000088225;3
TurksCaicos_05__000088225;3
TurksCaicos_09__000088225;3
TurksCaicos_18__000088225;3
Belize_01__000399576;4
Belize_02__000399576;4
Belize_03__000399576;4
Belize_06__000399576;4
Belize_07__000399576;4
Belize_08__000399576;4
BVI05__000399576;4
BVI06__000399576;4
BVI09__000399576;4
Jamaica_08__000399576;4
Jamaica_09__000399576;4
TurksCaicos_02__000399576;4
TurksCaicos_05__000399576;4
TurksCaicos_06__000399576;4
TurksCaicos_09__000399576;4
Belize_02__000706996;5
Belize_03__000706996;5
BVI01__000706996;5
BVI02__000706996;5
BVI04__000706996;5
BVI05__000706996;5
BVI06__000706996;5
BVI07__000706996;5
BVI08__000706996;5
BVI09__000706996;5
BVI10__000706996;5
BVI11__000706996;5
BVI12__000706996;5
BVI13__000706996;5
Jamaica_05__000706996;5
Jamaica_07__000706996;5
BVI02__000548771;6
TurksCaicos_04__000548771;6
TurksCaicos_09__000548771;6
C6-3-COI_ASV16946_4;7
T1-COI_ASV14894_12;7
COI_21_555_S60_Sediment_Offshore_1_613;8
COI_21_558_S63_Sediment_Offshore_1_81;8
COI_21_558_S63_Sediment_Offshore_1_750;8
COI_24_250_S75_Sediment_Offshore_1_799;8
COI_24_251_S76_Sediment_Offshore_1_1801;8
COI_24_558_S84_Sediment_Offshore_1_1419;8
COI_21_556_S61_Sediment_Offshore_1_854;9
COI_23_558_S51_Sediment_Offshore_1_32;10
COI_24_243_S67_Sediment_Offshore_1_692;10
COI_24_250_S75_Sediment_Offshore_1_1816;10
COI_24_558_S84_Sediment_Offshore_1_950;10
COI_24_558_S84_Sediment_Offshore_1_991;10
COI_24_246_S71_Sediment_Offshore_1_1083;11
COI_24_250_S75_Sediment_Offshore_1_1772;12
FTP62_2102_21902_16893;13
FTP62_2114_18427_12545;13
FTP62_1109_22711_17593;13
FTP62_2101_19163_11479;13
FTP62_1103_23613_13712;13
FTP62_1108_11204_21835;13
FTP62_2113_26872_12591;13
FTP62_1111_5133_14815;13
FTP62_2108_8548_22087;13
FTP62_2105_19678_26145;14
FTP62_1101_9234_23712;14
FTP62_1109_6008_19632;14
FTP62_2106_27068_10209;14
FTP62_2113_12170_13025;14
FTP62_1103_18750_26042;14
FTP62_2109_2527_14413;14
FTP62_1114_19661_22840;14
FTP62_1109_27529_20407;15
FTP62_1110_11627_21202;15
FTP62_2104_2043_13204;15
FTP62_2105_5226_18615;15
FTP62_2102_21772_25896;16
Littlefair_1868;17
Littlefair_6288;18
Littlefair_6475;19
PKN269_ASV513_280;20
PKN272_ASV1037_194;20
PKN274_ASV2549_89;20
PKN343_ASV1174_178;20
PKN346_ASV294_352;20
PKN349_ASV1204_174;20
