domain;supergroup;division;subdivision;phylum;class;order;family;genus;species;accesion
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Tardigrada_X;Tardigrada_XX;Tardigrada_XXX;Tardigrada_XXXX;Tardigrada_XXXXX;KC146108
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Tardigrada_X;Tardigrada_XX;Tardigrada_XXX;Tardigrada_XXXX;Tardigrada_XXXXX;MW262021
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Tardigrada_X;Tardigrada_XX;Tardigrada_XXX;Tardigrada_XXXX;Tardigrada_XXXXX;MW262014
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Tardigrada_X;Tardigrada_XX;Tardigrada_XXX;Tardigrada_XXXX;Tardigrada_XXXXX;MW262017
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Tardigrada_X;Tardigrada_XX;Tardigrada_XXX;Tardigrada_XXXX;Tardigrada_XXXXX;MW262008
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;OQ376687
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847742
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847769
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847745
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;ON754953
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;OQ376679
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847733
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;OQ376678
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MK492293
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;KJ857002
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847764
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847755
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847768
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;KJ857001
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;OQ376688
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;KP013598
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847726
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;OQ376680
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847738
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847736
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;KP013613
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847751
