domain;supergroup;division;subdivision;phylum;class;order;family;genus;species;accesion;Completeness
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Tardigrada_X;Tardigrada_XX;Tardigrada_XXX;Tardigrada_XXXX;Tardigrada_XXXXX;KC146108;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Tardigrada_X;Tardigrada_XX;Tardigrada_XXX;Tardigrada_XXXX;Tardigrada_XXXXX;MW262021;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Tardigrada_X;Tardigrada_XX;Tardigrada_XXX;Tardigrada_XXXX;Tardigrada_XXXXX;MW262014;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Tardigrada_X;Tardigrada_XX;Tardigrada_XXX;Tardigrada_XXXX;Tardigrada_XXXXX;MW262017;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Tardigrada_X;Tardigrada_XX;Tardigrada_XXX;Tardigrada_XXXX;Tardigrada_XXXXX;MW262008;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;OQ376687;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847742;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847769;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847745;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;ON754953;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;OQ376679;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847733;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;OQ376678;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MK492293;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;KJ857002;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847764;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847755;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847768;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;KJ857001;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;OQ376688;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;KP013598;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847726;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;OQ376680;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847738;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847736;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;KP013613;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_sp;MN847751;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_berladnicorum;KT951659;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_eurystomum;MT276191;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_matheusi;MN187056;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_pacificum;LC511090;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_pentapapillatum;MT581437;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_quadrifidum;MK492291;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_rastrum;LC721287;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_reductum;MT511063;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_tardigradum;EU244603;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Apochela;Milnesiidae;Milnesium;Milnesium_variefidum;KT951663;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Parachela_X;Parachela_XX;Parachela_XXX;KJ856950;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Parachela_X;Parachela_XX;Parachela_XXX;KJ856930;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Parachela_X;Parachela_XX;Parachela_XXX;KJ856940;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Parachela_X;Parachela_XX;Parachela_XXX;KJ856933;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Parachela_X;Parachela_XX;Parachela_XXX;KJ856943;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Parachela_X;Parachela_XX;Parachela_XXX;KJ856928;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Parachela_X;Parachela_XX;Parachela_XXX;KJ856926;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Parachela_X;Parachela_XX;Parachela_XXX;KJ856980;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Eohypsibiidae;Bertolanius;Bertolanius_volubilis;AY598769;partial
